land_surface_water__runoff_depth,land_surface_water__runoff_volume_flux,DIRECT_RUNOFF,GIUH_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,date_time
3.7151679540929514,9.8846243038532,0.03828419967928362,0.036464553832389404,0.0029357444502659995,0.00014089979262800424,8/23/2017 6:00
3.7972347100282717,10.102972184832037,0.0386880904887029,0.03731610085433972,0.002949865992818912,0.00014868241308655606,8/23/2017 7:00
3.8603697956516485,10.270950216912972,0.038975927388639184,0.037963694116372224,0.0029666128237109605,0.00015630034655045533,8/23/2017 8:00
3.9081200895570527,10.397995271533851,0.03917903430649471,0.03844516994430002,0.002985981839153043,0.00016367043526364756,8/23/2017 9:00
3.9438560655052286,10.493074875132956,0.03932133923341338,0.038796507122604684,0.0030079170854642487,0.00017074240445201115,8/23/2017 10:00
3.9705142118034304,10.564001886791898,0.03942054387761188,0.03904907731075925,0.0030323280292317433,0.00017748869915564568,8/23/2017 11:00
3.990495330576708,10.61716391195066,0.03948945839596316,0.03922855699850268,0.003059102419946046,0.0001838972472447265,8/23/2017 12:00
4.005670926189113,10.657540299524355,0.039537213379579016,0.03935499164314822,0.003088115239728401,0.00018996636549499567,8/23/2017 13:00
4.017448664161221,10.68887630275276,0.03957024896369099,0.03944348975244303,0.0031192348649051013,0.00019570120613945807,8/23/2017 14:00
4.026859449351592,10.713914760545387,0.03959307491181732,0.03950514793691495,0.003152327262783057,0.00020111129643063163,8/23/2017 15:00
4.0346433865200915,10.734624805277187,0.03960883353221528,0.03954796467216055,0.003187258815030513,0.00020620884664624304,8/23/2017 16:00
4.041323884621071,10.752399025637274,0.03961970680979002,0.03957762829013084,0.0032238981869476104,0.0002110075948004142,8/23/2017 17:00
4.047266781568096,10.768210774748953,0.03962720630661877,0.03959814582712786,0.003262117537208632,0.00021552202436761147,8/23/2017 18:00
4.0527252851421895,10.782733740536194,0.03963237744336455,0.039612321106103306,0.0033017932737420593,0.00021976684024104244,8/23/2017 19:00
4.05787306668119,10.796429995225102,0.0396359424364475,0.03962210685963181,0.0033428064986977266,0.00022375662285652797,8/23/2017 20:00
4.062828119179764,10.8096134725159,0.03963839983357843,0.039628858646216784,0.003385043241537675,0.0002275056048282731,8/23/2017 21:00
