,land_surface_water__runoff_depth,land_surface_water__runoff_volume_flux,DIRECT_RUNOFF,GIUH_RUNOFF,NASH_LATERAL_RUNOFF,DEEP_GW_TO_CHANNEL_FLUX,date_time
4799,87.8332781175382,233.69036509136353,0.9744381212716579,0.9304548069376991,0.004121496800524959,0.0002490098309350519,3/11/2017 5:00
4800,91.96410546058331,244.68089818559451,0.9744514895714873,0.974384733083322,0.0041535012165118375,0.0002522146829735372,3/11/2017 6:00
4801,91.97072392453912,244.69850735709903,0.9744596857379154,0.9744187508956289,0.004186910991288192,0.0002552285934118359,3/11/2017 7:00
4802,91.97621086120691,244.71310597234614,0.9744647107543032,0.9744396115628238,0.004221616256561906,0.00025806111083546133,3/11/2017 8:00
4803,91.98103526209236,244.72594183625142,0.9744677915249451,0.9744524026779372,0.004257511211052815,0.0002607220041043101,3/11/2017 9:00
4804,91.98548175731912,244.73777223943333,0.9744696802915298,0.9744602453327444,0.004294494462960559,0.0002632209426383292,3/11/2017 10:00
4805,91.98972198333543,244.74905384006414,0.9744708382564402,0.9744650537499346,0.004332469159568908,0.0002655673139311676,3/11/2017 11:00
4806,91.99385840420457,244.76005925536685,0.9744715481796823,0.9744680017778002,0.004371342989438009,0.00026777012451002503,3/11/2017 12:00
4807,91.9979511992157,244.77094859914288,0.9744719834175841,0.9744698091813979,0.0044110281094643326,0.00026983795137800474,3/11/2017 13:00
4808,92.0020347518109,244.78181335242652,0.9744722502518522,0.9744709172715427,0.004451441028752179,0.00027177892374884437,3/11/2017 14:00
4809,92.00612775703463,244.79270325549692,0.9744724138416597,0.9744715966203696,0.004492502468775905,0.00027360072272055727,3/11/2017 15:00
4810,92.01023941440509,244.8036427847121,0.9744725141346828,0.9744720131148126,0.004534137211673412,0.00027531059134136896,3/11/2017 16:00
4811,92.01437322012006,244.81464124210154,0.9744725756219382,0.9744722684582856,0.004576273943831969,0.00027691535046934227,3/11/2017 17:00
4812,92.01852928730864,244.82569892865789,0.9744726133182997,0.9744724250035017,0.004618845099061888,0.0002784214176345068,3/11/2017 18:00
4813,92.02270576390832,244.83681091675962,0.9744726364290328,0.9744725209777079,0.004661786703900202,0.00027983482721983367,3/11/2017 19:00
4814,92.02689969743797,244.84796935099678,0.9744726505976671,0.9744725798172199,0.004705038226514732,0.0002811612509558303,3/11/2017 20:00
4815,92.03110756082165,244.85916484718527,0.9744726592841154,0.9744726158903214,0.004748542430025062,0.000282406018138337,3/11/2017 21:00
4816,92.03532557056168,244.87038733890176,0.9744726646095676,0.9744726380058757,0.00479224523065902,0.00028357413523266706,3/11/2017 22:00
4817,92.03954987775694,244.88162658570974,0.974472667874474,0.9744726515643908,0.004836095560922325,0.0002846703046814225,3/11/2017 23:00
4818,82.8877221185176,220.53215431111332,0.0,0.8770253928891791,0.004880045237814095,0.0002834369914518797,3/12/2017 0:00
4819,50.846114568702646,135.2818354466588,0.0,0.5359599634059575,0.004924048836034819,0.000280293749790923,3/12/2017 1:00
4820,32.538044862724966,86.57114645264573,0.0,0.3410654320503134,0.004967206780028405,0.0002756015500272757,3/12/2017 2:00
4821,19.72321469117701,52.47584219489775,0.0,0.2046392596282272,0.005008777643027983,0.0002696699284925774,3/12/2017 3:00
4822,10.570423744094409,28.12380725016569,0.0,0.10719199330294682,0.005048156789674769,0.0002627634148140756,3/12/2017 4:00
4823,5.0796475046812954,13.514976388742769,0.0,0.0487236333937237,0.005084857699956682,0.0002551072731020998,3/12/2017 5:00
4824,0.5041151875059697,1.3412554414594717,0.0,0.0,0.005118495645208546,0.00024689260324787024,3/12/2017 6:00
4825,0.5061508604831003,1.346671579527274,0.0,0.0,0.005148773427078504,0.00023828085354653752,3/12/2017 7:00
